"";"fill";"y";"count";"x";"xmin";"xmax";"density";"ncount";"ndensity";"flipped_aes";"PANEL";"group";"ymin";"ymax";"colour";"size";"linetype";"alpha"
"1";"#4C3F30";1;6791,21074627122;5;0;10;0,020798074005116;1;1;FALSE;"1";1;0,565353833222228;1;NA;0,5;1;0,62
"2";"#4C3F30";1;3251,32404807599;15;10;20;0,00995717563375955;0,478754697733561;0,478754697733561;FALSE;"1";1;0,64123971856487;1;NA;0,5;1;0,62
"3";"#4C3F30";1;3388,79054927273;25;20;30;0,0103781666134142;0,498996522988684;0,498996522988684;FALSE;"1";1;0,708238940459637;1;NA;0,5;1;0,62
"4";"#4C3F30";1;3038,21038469049;35;30;40;0,00930451531909819;0,447373892256053;0,447373892256053;FALSE;"1";1;0,748080908184101;1;NA;0,5;1;0,62
"5";"#4C3F30";1;5975,36503940072;45;40;50;0,0182995475976466;0,879867414316593;0,879867414316593;FALSE;"1";1;0,808336765344352;1;NA;0,5;1;0,62
"6";"#4C3F30";1;3270,41194380963;55;50;60;0,0100156322894138;0,481565374127917;0,481565374127917;FALSE;"1";1;0,852588938642243;1;NA;0,5;1;0,62
"7";"#4C3F30";1;1983,23343897686;65;60;70;0,00607364980624533;0,292029435261712;0,292029435261712;FALSE;"1";1;0,905667639253221;1;NA;0,5;1;0,62
"8";"#4C3F30";1;2004,9313418896;75;70;80;0,00614009960546307;0,295224432990896;0,295224432990896;FALSE;"1";1;0,924233980895608;1;NA;0,5;1;0,62
"9";"#4C3F30";1;1429,79893016338;85;80;90;0,00437875734872476;0,210536675061722;0,210536675061722;FALSE;"1";1;0,94315207456583;1;NA;0,5;1;0,62
"10";"#4C3F30";1;1519,79878335876;95;90;100;0,00465438178111847;0,223789076814207;0,223789076814207;FALSE;"1";1;0,960768979935229;1;NA;0,5;1;0,62
"11";"#EAEAEA";0,565353833222228;3545,68987157749;5;0;10;0,00849686908634551;0,385626041912739;0,385626041912739;FALSE;"1";2;0,338425150128408;0,565353833222228;NA;0,5;1;0,62
"12";"#EAEAEA";0,64123971856487;2384,82501042305;15;10;20;0,0057149797758234;0,259371423540433;0,259371423540433;FALSE;"1";2;0,37809138906532;0,64123971856487;NA;0,5;1;0,62
"13";"#EAEAEA";0,708238940459637;3292,35851157483;25;20;30;0,00788978739579406;0,358073951011249;0,358073951011249;FALSE;"1";2;0,424780286477626;0,708238940459637;NA;0,5;1;0,62
"14";"#EAEAEA";0,748080908184101;3385,58851797843;35;30;40;0,00811320320146859;0,368213562669085;0,368213562669085;FALSE;"1";2;0,467358286403467;0,748080908184101;NA;0,5;1;0,62
"15";"#EAEAEA";0,808336765344352;9194,6328468652;45;40;50;0,0220339607880222;1;1;FALSE;"1";2;0,513413683443736;0,808336765344352;NA;0,5;1;0,62
"16";"#EAEAEA";0,852588938642243;5585,81297103939;55;50;60;0,0133858073533702;0,607507995595909;0,607507995595909;FALSE;"1";2;0,600813127902125;0,852588938642243;NA;0,5;1;0,62
"17";"#EAEAEA";0,905667639253221;4052,7954558398;65;60;70;0,00971209374459082;0,440778389234058;0,440778389234058;FALSE;"1";2;0,712896704949885;0,905667639253221;NA;0,5;1;0,62
"18";"#EAEAEA";0,924233980895608;4160,35714929883;75;70;80;0,00996985391570821;0,452476702288037;0,452476702288037;FALSE;"1";2;0,76701478207866;0,924233980895608;NA;0,5;1;0,62
"19";"#EAEAEA";0,94315207456583;3059,06568935946;85;80;90;0,00733072593217366;0,332701233459519;0,332701233459519;FALSE;"1";2;0,821525505585907;0,94315207456583;NA;0,5;1;0,62
"20";"#EAEAEA";0,960768979935229;3068,24317716987;95;90;100;0,00735271880670329;0,333699368780772;0,333699368780772;FALSE;"1";2;0,881567502104639;0,960768979935229;NA;0,5;1;0,62
"21";"#6DB581";0,338425150128408;5287,78738208817;5;0;10;0,00381186374239382;0,154832426557228;0,154832426557228;FALSE;"1";3;0;0,338425150128408;NA;0,5;1;0,62
"22";"#6DB581";0,37809138906532;3426,51538994515;15;10;20;0,00247010873053076;0,100332266433032;0,100332266433032;FALSE;"1";3;0;0,37809138906532;NA;0,5;1;0,62
"23";"#6DB581";0,424780286477626;4933,80241558109;25;20;30;0,00355668282045441;0,144467344270689;0,144467344270689;FALSE;"1";3;0;0,424780286477626;NA;0,5;1;0,62
"24";"#6DB581";0,467358286403467;5636,46363158472;35;30;40;0,00406321771282614;0,165042063573894;0,165042063573894;FALSE;"1";3;0;0,467358286403467;NA;0,5;1;0,62
"25";"#6DB581";0,513413683443736;16006,3779592965;45;40;50;0,0115386885631546;0,468684945280709;0,468684945280709;FALSE;"1";3;0;0,513413683443736;NA;0,5;1;0,62
"26";"#6DB581";0,600813127902125;13329,4368237404;55;50;60;0,00960893342781872;0,390301065253116;0,390301065253116;FALSE;"1";3;0;0,600813127902125;NA;0,5;1;0,62
"27";"#6DB581";0,712896704949885;14987,8638952785;65;60;70;0,0108044614561987;0,438861695475172;0,438861695475172;FALSE;"1";3;0;0,712896704949885;NA;0,5;1;0,62
"28";"#6DB581";0,76701478207866;20296,8559581214;75;70;80;0,0146316112431888;0,594315019193803;0,594315019193803;FALSE;"1";3;0;0,76701478207866;NA;0,5;1;0,62
"29";"#6DB581";0,821525505585907;20662,4301593707;85;80;90;0,0148951466205032;0,605019447450106;0,605019447450106;FALSE;"1";3;0;0,821525505585907;NA;0,5;1;0,62
"30";"#6DB581";0,881567502104639;34151,6793327122;95;90;100;0,0246192856829309;1;1;FALSE;"1";3;0;0,881567502104639;NA;0,5;1;0,62
