,Estimate,SE,term,group,hte_var
Norms: Above,0.022556134,0.017270105,tmp_treatment[T.high],Broad,baseline_belief_partition_vaccine_pre_both
Norms: Above,0.026008614,0.016508955,tmp_treatment[T.low],Narrow,baseline_belief_partition_vaccine_pre_both
Norms: Between,0.040949682,0.015044461,tmp_treatment[T.high],Broad,baseline_belief_partition_vaccine_pre_both
Norms: Between,0.037379572,0.015315012,tmp_treatment[T.low],Narrow,baseline_belief_partition_vaccine_pre_both
Norms: Under,0.043181728,0.015981742,tmp_treatment[T.high],Broad,baseline_belief_partition_vaccine_pre_both
Norms: Under,0.048902373,0.015199102,tmp_treatment[T.low],Narrow,baseline_belief_partition_vaccine_pre_both
Vaccine: No,0.040548334,0.017854249,tmp_treatment[T.high],Broad,vaccine_accept_pre
Vaccine: No,0.01693397,0.016822719,tmp_treatment[T.low],Narrow,vaccine_accept_pre
Vaccine: Don't know,0.070679291,0.011308587,tmp_treatment[T.high],Broad,vaccine_accept_pre
Vaccine: Don't know,0.052262416,0.011426271,tmp_treatment[T.low],Narrow,vaccine_accept_pre
Vaccine: Yes,0.029052418,0.006313017,tmp_treatment[T.high],Broad,vaccine_accept_pre
Vaccine: Yes,0.02668012,0.00626262,tmp_treatment[T.low],Narrow,vaccine_accept_pre
Average,0.039288784,0.005756682,tmp_treatment[T.high],Broad,vaccine_accept_pre
Average,0.032535944,0.005656742,tmp_treatment[T.low],Narrow,vaccine_accept_pre
