,country_pre,behavior,level,survey_response_information_version,value,group
France,France,vaccine,high,1,69,Broad
France,France,vaccine,high,2,71,Broad
France,France,vaccine,high,3,71,Broad
France,France,vaccine,high,4,66,Broad
France,France,vaccine,high,5,63,Broad
France,France,vaccine,high,6,65,Broad
France,France,vaccine,high,7,72,Broad
France,France,vaccine,high,8,75,Broad
France,France,vaccine,high,9,76,Broad
France,France,vaccine,high,10,77,Broad
France,France,vaccine,high,11,77,Broad
France,France,vaccine,low,1,40,Narrow
France,France,vaccine,low,2,42,Narrow
France,France,vaccine,low,3,42,Narrow
France,France,vaccine,low,4,36,Narrow
France,France,vaccine,low,5,34,Narrow
France,France,vaccine,low,6,37,Narrow
France,France,vaccine,low,7,47,Narrow
France,France,vaccine,low,8,53,Narrow
France,France,vaccine,low,9,53,Narrow
France,France,vaccine,low,10,53,Narrow
France,France,vaccine,low,11,55,Narrow
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
France,France,0,0,0,0,Country Belief
