,VM p-val,x
news_sources_trust_ordinary_people_i_know_personally_pre,0.00026775640204897844,0
vaccine_accept_pre,0.00038162573802707675,1
measures_taken_caution_opening_mail_pre,0.0025272666578953,2
news_medium_trust_messaging_apps_pre,0.0036848729866864015,3
locations_would_attend_performances_and_sporting_events_pre,0.0075582115295907155,4
news_sources_trust_ordinary_people_i_do_not_know_personally_pre,0.01031649409429788,5
age_pre,0.010538622273641102,6
community_management_pre,0.01295011021822844,7
news_sources_trust_journalists_pre,0.016384989551123656,8
news_medium_trust_online_sources_pre,0.0194325806745096,9
news_medium_online_sources_pre,0.022525199808988424,10
news_sources_world_health_organization_pre,0.04043998803068744,11
news_medium_trust_radio_pre,0.0447101448013832,12
measures_taken_eating_garlic_pre,0.05629861367214516,13
news_medium_trust_television_pre,0.07103443390001563,14
measures_taken_cleaning_or_disinfecting_surfaces_pre,0.07498638066988558,15
news_medium_messaging_apps_pre,0.11573528811934539,16
news_medium_television_pre,0.1201410766995778,17
prevention_hand_washing_pre,0.1335717596661622,18
locations_would_attend_retail_shops_pre,0.1372788799812602,19
country_management_pre,0.1432227480618241,20
measures_taken_using_homeopathic_remedies_pre,0.15094010097745744,21
employed_2020_pre,0.151796175994201,22
locations_would_attend_places_of_worship_pre,0.1870539540515831,23
measures_taken_isolation_pre,0.20555332988648264,24
news_sources_ordinary_people_i_know_personally_pre,0.21829070666496295,25
effect_hand_washing_pre,0.2316299822273956,26
measures_taken_none_of_these_pre,0.26207826211216545,27
news_sources_ordinary_people_i_dont_know_personally_pre,0.2695536154041082,28
news_medium_trust_newspapers_pre,0.2849126858427401,29
locations_would_attend_schools_pre,0.31201176796100166,30
education_pre,0.3130434323942793,31
news_sources_trust_scientists_pre,0.3157302988681964,32
news_sources_local_health_workers_pre,0.3251485062850584,33
risk_community_pre,0.3309361644200327,34
measures_taken_cleaning_or_disinfecting_a_mobile_phone_pre,0.35468796925856005,35
info_exposure_more_less_wanted_pre,0.36073635241973945,36
news_sources_trust_government_health_authorities_pre,0.36908983065767176,37
prevention_mask_pre,0.39120994365250494,38
measures_taken_meter_distance_pre,0.4298000791989779,39
norms_masks_pre,0.4468908934981839,40
news_sources_politicians_pre,0.4493321087305552,41
news_sources_trust_world_health_organization_pre,0.4708798441256813,42
news_sources_government_health_authorities_pre,0.48453100454945663,43
control_infection_pre,0.4982868194888159,44
news_medium_radio_pre,0.5012306616537672,45
measures_taken_getting_the_flu_vaccine_pre,0.5020438891385591,46
prevention_distancing_pre,0.5509828470083811,47
news_sources_trust_local_health_workers_pre,0.5510163103325769,48
infection_severity_pre,0.5542710981369261,49
measures_taken_using_antibiotics_pre,0.6009999207185401,50
own_health_pre,0.6290889140334168,51
gender_pre,0.629747091523851,52
info_exposure_past_week_pre,0.6326100931345677,53
news_sources_trust_politicians_pre,0.6343764382286801,54
community_action_norms_pre,0.6945457359092577,55
measures_taken_taking_herbal_supplements_pre,0.7070337926482003,56
effect_mask_pre,0.744455122788247,57
community_action_importance_pre,0.7513655422020926,58
locations_would_attend_health_care_facilities_pre,0.7575322286658246,59
measures_taken_avoid_sick_pre,0.7588915185646511,60
risk_infection_pre,0.7706901582521739,61
news_sources_scientists_pre,0.779912432870328,62
locations_would_attend_places_of_employment_pre,0.7883364093264598,63
norms_vaccine_pre,0.8285553209329793,64
news_sources_journalists_pre,0.8294021271502359,65
distancing_importance_pre,0.8411435718532906,66
know_positive_case_pre,0.8944814491259532,67
locations_would_attend_restaurants_pre,0.9141311912235465,68
norms_dist_pre,0.9172448756031245,69
knowledge_existing_treatments_pre,0.9257697589334543,70
measures_taken_wearing_a_face_mask_or_covering_pre,0.9301708394049423,71
locations_would_attend_parks_and_beaches_pre,0.9349133262859762,72
measures_taken_cover_coughs_pre,0.9370592842248638,73
measures_taken_washing_hands_pre,0.9515353273204233,74
news_medium_newspapers_pre,0.9674711589225867,75
measures_taken_avoid_touching_face_pre,0.9969163552600362,76
